author_name,rating,text
ga030189,5,"專項運動遇到瓶頸了嗎？

來這裡絕對可以增強你專項所需的一切

專業教練群以及各種專門器材

保證越練越強！！！"
謝郁安,5,"一進門口給人感覺舒適 專業
讓人想運動的感覺更有動力
場地寬敞 廁所乾淨 器材先進
適合專業選手調整狀態"
XI Yuan,5,"專業！運動按摩首選
技擊運動的朋友如果想在訓練上加強，真的很推薦！"
偉聖,5,感謝昱豪教練，曾經因為韌帶斷掉，已經很久沒有運動，來到這裡經過教練的耐心指導，慢慢已經恢復到跟以前一樣的水平。值得參考！推！
Rick Chen,5,很棒的訓練環境，又有專業教練跟物理治療師合作，大推一下
Larry Hsiao,5,"專業教練 仔細指導
用心安排每堂課程內容
針對每個學員不同肌力程度
適時增減訓練強度
讓每個肌群都訓練的到
真的很推薦私人教練課程喔"
ACa Adam,5,"負責人與現場教練都非常專業
讓原本因為受傷不敢運動的我又開始接觸重訓
以更安全、更有效的方式重訓
真的很感謝他們 推薦👍🏻"
Alison Kong,5,場地舒服～音響超棒，教練們都很專業，也有淋浴間可以使用喔
曾亭瑄,5,"器材完善，整體空間設計佳！
教練專業，櫃台人員親切😌
是很舒適的運動空間～"
宋柏緯,5,場館舒適、人員專業、服務態度良好，提供給人想要一直持續鍛鍊的動力。
邱郁智,5,重視運動科學、沒有業務説嘴，提供各專項運動員防護，強化運動表現。
瓦丹,5,專項訓練~練到的是人生啊 不來體驗看看嗎？
蘇非菲,5,教練群非常專業，除了訓練還有物理治療，改變自己的最佳選擇！
林恩玄,5,教練很專業也很用心，針對個人狀況做完善的處置，效果顯著！
Lance Chang,5,教練專業、可以按照各種需求排課，進步有感
張詩涵,5,"場館位置不管是騎車來還是搭捷運都很方便
除了教練的師資沒話說以外
場館又明亮、乾淨
若不推薦豈不是太自私了嗎？"
張景棠,5,全新又舒適的場館，一進門就充滿活力，授課內容也與傳統健身房不同，教練個個都很專業有屬於自己的專項，真心推薦大家來這裡運動看看！
健管科林逸存,5,"專業的訓練場所，訓練出來的選手都是一級棒👍
歡迎大家一起來"
熊偉廷,5,教練親切又專業，氣氛跟環境都良好，RPS就好像我第二個家，每次上完課心情都好好
Yi Heng Lee,5,場地環境舒適明亮，有專業的教練指導正確的運動姿勢與方式，來提升身體素質與運動表現。歡迎大家來體驗看看!
陳禹希,5,練習環境真的很棒，教練也都很專業很nice。
邱淑麗,5,"場地環境舒適,有趣有效的體適能訓練及專業的物理治療師,非常推薦RPS喔！"
林Lin 存,5,"優秀場館 櫃台親切服務
師資優良 推推唷👋🏻"
曾美惠,5,場館環境很漂亮、有專業的教練推薦大家來
Shao,5,教練專業，環境整潔寬敞又舒適，櫃檯人員熱情又親切，值得常來的好地方！
sheng yu,5,"舒適的環境 專業的師資 ， 有問題立馬幫你解決！
不推對不起自己👍"
魏銘,5,"櫃檯人員很親切，場館環境很漂亮
推薦大家來"
謝米柔,5,環境舒服還有專業的物理治療！很感謝！
Jeremy Hung,5,"教練非常的專業，根據個人的問題去訓練
由淺入深，讓身體更加的強大！"
顧念宗,5,"來這練腹肌準沒錯
太強大"
賴麗雅,5,"場館乾淨、明亮，空間十分舒適
師資優異並提供專業運動防護
櫃台非常親切😍😍😍😍😍"
SC CHEN,5,舒服的場地，專業的教練，值得一練！
梁荔媚,5,超優的訓練環境，擁有專業教練和物理治療師，大推！
