author_name,rating,text
Yi-Wei Lee,5,"這裡是很棒的訓練中心。對於希望藉由訓練，提升肌力與生活品質的一般民眾來說，可以在這裡學會正確的運動方式。並且學習到，藉由監測最大肌力的變化，可以瞭解身體是處在進步、維持或退化的狀態。

對於運動愛好者或專業教練，這裡的學科知識與術科操作，可以幫助你在自我訓練或是指導學生時，有更充足的理論與實務經驗來支持。

訓練中心有各式各樣的器材與訓練動作，幫助來這裡訓練的人，在不同的變化動作中，安全的挑戰自己的最大肌力，不僅有趣也充滿成就感。

推薦給希望短期進修與長期進步的一般大眾和肌力體能訓練愛好者。"
Elaine chen,5,真正專業就是用最簡單的話語來傳達，讓大眾都能入門，進而達到強健體魄、改善日常生活品質的目的 #我怪獸我驕傲 💪💪💪
Jia H,3,團課、不是上何老師的課，對槓鈴初學者而言不太推。團班人多，假設一次兩種動作輪流，教練看不到你的動作機會極高。即使上幾個月，對於動作熟練度的增長也有限，對於團費原本就較貴一些的狀態來說，預期當然會希望較為完善，但幾個月下來覺得整體cp值對重量類初學者而言並不高。同等價值，市場上仍是有厲害的教練。
S. Josh燻鴿（瀬安 ジャアシ）,5,全台灣最專業的肌力訓練中心
Steven H,5,專業水準有目共睹 名不虛傳  值得推薦
min sue,5,開心..教練有趣
陳冠瑜,5,老師很專業器材也很好用
徐豐勝,5,用科學化訓練，而不是拔獅子的棕毛
newtoomy,5,滿是ROGUE器材的超棒健身房
KAI HSIANG HUNG,5,專業何老師
王小豪,5,科學化訓練
0795 Ds_,5,世界級的專業
朱建仲,5,專業的訓練中心
Kimi Wu,5,很棒的專業訓練中心
Ming Hsiao,5,怪獸訓練最強
羅泰泰,5,教練很有實力
孫源宏,5,專業中的專業訓練場地，教練也是超一流
tindin531,5,何老師專業
黃揑球,5,教練很認真教學，環境很棒
林紀甫,5,專業安全
林宗弦,4,"(由 Google 提供翻譯) 大推

(原始評論)
大推"
紹楷,5,"(由 Google 提供翻譯) 棒

(原始評論)
棒"
bajeriras bao,5,
顏Simon,5,
Donis Su,4,
黃偉南,4,
Chung Alan,5,
Amanda,5,
呂明珊,5,
良勝林,5,
Dean,5,
Hsu Cynthia,4,
張喆,5,
Jia Rong Xu,5,
陳衍旭,5,
阿嘎,5,
牟嘉鴻,4,
PW Su,5,
chou eric,5,
陳傑夫,5,
Cole Meng,5,
陳宗民,5,
吳鳳,5,
陳政裕,5,
Douglas Wu,5,
Erica Kuo,5,
Sam Lin,5,
Lulu Hsu,5,
yen,5,
康惠棋,5,
Yu-Chen Chiu,5,
Ui,5,
蔡長霖,5,
陳悅凌,5,
Chia Zhan,5,
王柏仁,5,
