author_name,rating,text
Yu Chen Shang,4,"原則上對棉花田還是有信心
不論我們感受那家門市服務好與不好
都是當下以個人心情來評斷
服務業很辛苦…
目前有很大的改善空間
我們可以期待更好的棉花田"
咪醬,4,"產品價格偏高，不過有機蔬菜價格還不錯。精力湯很好喝，算濃郁。服務頗親切。餐點豐富好吃。
近期推出的爆漿活力早餐還不錯，鮪魚據說是招牌$80（套餐價）：三層起司､碎蛋､堅果､番茄片､生菜和鮪魚，用日本麗克特熱壓吐司機壓的。另外也有肉鬆$75和鮮蔬$70以及BBQ鳳梨$70"
MAY Y,2,這家有機店本來經營得有聲有色，但是自從棉花田易主之後，就感覺棉花田已經回不去了！
JABO Wang,1,服務人員都很熱情，也很親切，但今天遇到莉麗店長結帳，把棉花田在我心裡的形象都毀了，真心希望棉花田能重視店長該有的形象品質，應該要向員工學習服務態度，店長實在很糟糕。
Chian Chen,4,這裡賣的全是有機商品，有機蔬菜3包90元，還有些好吃的炒飯及小菜
Yen Huei,5,店員很親切，很客氣，也能適時提供很好的建議。
Lin Mercy,4,不易買到的好吃台塑蔥油餅，在此目前有9折
Shedon Jeng,4,各種有機食物大多具足
Wu Chien-Yuan,1,"7/7 下午，收銀台一位不知道是否為老闆的中年婦女。我進去店裡逛五分鐘左右，她用非常不禮貌的口氣大聲質問我 先生你需要什麼嗎。
我回頭看他，並說我先逛看看喔，她立刻以非常冒犯和質疑的眼神盯著我和我手中拿的透明塑膠購物袋。現在是怎樣？開商店怕有人逛？動點腦子，有人偷東西會拿透明袋？把客人當賊，真是很優質的態度！！"
sky blue,1,"所販售的商品種類多
但不知何故 有效期限通常蠻短的
大約都半年之內
有些東西很難半年內吃完
這家門市可能沒有落實先入先出原則

部分服務人員品質不算好
商品出問題 曾經換貨2次
一次服務很好 一次很雷
雷到讓我不想再踏入第二次了
以後還是選別的門市比較好"
Sydney Trains,5,很久沒去。
Becky Lin,4,精選商品、採購便利
Bûn-ka Png,5,優格很推，大罐便宜！！！！！
Sunny Chen,4,"有優惠價的有機店就可下手！
大推愛吃菇的乾香菇，燉雞湯香氣十足，口感也好，品質很穩定！活動到6/18，大家可多帶些～"
Zek H,5,"有機蔬菜好吃
菜葉類特價價格很合理"
Heloise Lene,4,價格偏高，但是服務人員很親切，早餐的三明治餡料非常豐富，豆漿喝得到豆沙，精力湯豐富好喝！
YiMin Lin,5,精力湯、明日葉好喝
Henry Lin,4,各種優質有機食品，價格有點貴！
林誌循,4,門口有長椅可坐
Alex Len,1,"有位人高馬大聲音大的資深中年女店員非常勢利，有時會在客人面前大聲""管教""其他店員，非常不舒服。"
洪美人,4,販售有機蔬果、健康食品及用餐的多項選擇
chang sixlan,5,親切熱心服務
Ryan Tsai,1,價錢昂貴，品質極差，大爛店
Sheldon Chen,5,店員總是笑臉迎人，熱情介紹
mf Chen,4,服務人員很熱情，有時優惠活動滿划算的
Aurora橡子姐姐,5,在租金貴台北市的台北市，這家店算很大家！
吳晨知,2,為什麼把原來的捐款箱換掉，我比較喜歡原來的捐款箱
陳建萍,3,逛過，沒買過。
John Hsukarski,4,品項多 服務好 方便採買
Kay Chan,5,店員客氣，商品實在
蔡承臻,5,店員很親切熱心
Poyu Teng,4,食材種類多
AJ ahn,3,還行。
QI WEN,4,服務優
joseph chen,3,東西多
Shihwen Hu,5,多樣有機食材
楊宜強,5,"(由 Google 提供翻譯) 他們的健康飲品很棒

(原始評論)
Their health drinks are excellent"
Aislinn Teo,3,"(由 Google 提供翻譯) 新鮮食物的選擇比我預期的要少得多。

(原始評論)
A much less selection of fresh food than I expected."
Wan-ting Huang,5,"(由 Google 提供翻譯) Oma，東西方

(原始評論)
大間，東西多"
poru chen,4,"(由 Google 提供翻譯) 味道

(原始評論)
味道"
曉悌馬,5,"(由 Google 提供翻譯) 健康食材之所在

(原始評論)
健康食材之所在"
E. Li,3,"(由 Google 提供翻譯) 方便的地方

(原始評論)
convenient location"
Paul Bendemire,4,"(由 Google 提供翻譯) 不錯的有機商品選擇，但非常昂貴

(原始評論)
Nice selection of organic goods, but very pricey"
Nismayati Nismayati,4,
NeiHwu Chiu,5,
曉珍,5,
Sean Liao,5,
王建源,4,
Plutus W,3,
Tseng-Chi Chen (Chuan Ru),4,
林淑貞,4,
蔡沛軒,5,
kuan chang chen,3,
Chungming Tsai,3,
ying-chi liao,4,
張強民,5,
李沛琳,3,
莊晴翔,5,
李仲男,5,
Hsuan L,4,
康志遠,4,
rstone yang,3,
Lotus Tang,5,
Roger Tsai,4,
袁茹鈺,4,
Herschel Wang,3,
陳清華,5,
范于萍,5,
吳小諺,4,
牛久蕾,5,
愛新覺羅,3,
Eric Lu,4,
黃慧綸,3,
黃帝,3,
Fermion Cheng,4,
Huang Chieh-Shih,4,
Handika Rohman official,5,
I-jen Wu,5,
游進南,4,
翁元滔,5,
Lin Shao,4,
elsabonjour,4,
Jia-Wei Guo,4,
Jonathan Spangler,3,
ks ai,4,
annie,5,
甄玲玲,5,
余珈誼,4,
