author_name,rating,text
Eeyore Chen,5,雖然價格比其他瑜珈教室貴，但地理環境位置交通方便、環境舒適，櫃臺人員很親切，不會刻意推銷課程而造成壓力，老師也很用心教課，並不會因為問題很多不耐煩，預算夠蠻推薦的喔！
Hsiao Wen PH,5,在這邊上三次之後，我確定要從原本明曜那家有飛輪的換到這家了，舒適的空間，完美的師生比，親切指導動作的老師，雖然貴一點，但是值得
王漢文,1,"前後兩次詢問關於課程續約優惠的事情，
終於今天決定要續約了，
工作人員丟給我一個刷卡連結和續約方案，
我已完成刷卡之後，
請傳訊息請他們確認是否收到款項，
結果才告訴我，有新合約要補簽，
流程上面也太怪了吧？先付款再補簽合約？

想說已經上過第一次續約應該還好，
而且已經付款了，就問他說可否先讓我預約課程到現場看完合約補簽完再上？

結果一直答非所問和講不清楚，
兩次詢問是否有主管可以出來回答呢

一直重複貼上之前的訊息

最後才有主管打過來解釋

工作人訓練真的有問題耶！原本很喜歡這裡的老師，ㄧ秒讓人失去信用不想在這裡上課"
黃友婷,5,上個月在諾瑪上了空中瑜珈50小時的師資培訓，從空中瑜伽的動作分解、解剖學、瑜珈哲學和課程安排等等各個方面都收穫滿滿！推薦給有心想有系統的深入學習空中瑜伽或是想往教學之路的朋友們！在各個主題的課程外，兩位老師也會在培訓過程中，示範完整的空瑜課程，讓學員一邊有系統的獲得知識之外，也一邊觀摩和體驗老師是如何設計和帶領一個小時的完整課程。每天也都會安排時間讓每位學員上台練習教學，很扎實的50小時訓練！特別想推薦Shany老師和玫儒老師，很喜歡她們的課程，也超感謝她們在培訓期間無私的分 …
Hanson Chou,5,在台電大樓捷運站出口附近，分本館和一館。本館充滿了蒙古和波希米亞的風格，進來馬上感受到神聖又放鬆的感覺，在這裏上了好幾堂靈氣療癒的冥想課程；另一間教室一館從台電大樓一號出口一上來就可以看到，和本館風格截然不同，有大量的盆栽植物，而且竟然還有溜滑梯！？和本館的差別是一館採高挑設計，所以有更多類型的空中瑜伽、還上得到彈力繩的課程，整體來說諾瑪和台北其他的瑜伽教室感覺滿不一樣，誠摯推薦給對瑜伽有興趣的人
Celine Lee,1,非常糟糕的體驗，去上課三次，每次都不一樣地方，而且完全不事先通知，不留line不打電話，態度非常傲慢，讓學員一直白跑浪費上課時間，請主管出來解釋結果只有小幫手留了一堆line說完無法退款，還是沒人打電話來解釋，要考慮這家的消費者請三思，收費高卻沒有對等的品質
林玉彰,5,非常吃身體協調性兼具平衡基礎的空中瑜伽教學中心，深受各行業女性下班後伸展放鬆運動。
Kayu Lin,5,"教室乾淨整潔，上起課來很舒服又放鬆，
漂亮的佈置更讓人心情愉快。去過教室從來不消毒墊子或地板踩起來總是沙沙的教室以後，深深覺得乾淨的教室是很重要的。
櫃檯的服務人員每次都是帶著親切笑容，有任何疑問或需求也都會盡力回答及完成。
Celine的課紮實又愉快，跟著開朗的Celine上課會整天心情愉悅，Luna也是個可愛活潑的老師，讓人打從心底喜歡上。
很喜歡諾瑪整體給人的感覺，溫馨、舒適，值得推薦的瑜珈教室。"
Boffy Ku,5,諾瑪的老師非常專業，上課的地點也非常舒適，會希望繼續買課程上下去🥰🥰🥰🥰
Polly Lin,5,"舒適的上課環境，擁有最棒的師資團隊！
在這裡上課 非常享受！
大推諾瑪瑜珈～～～"
