author_name,rating,text
Joanne Leung,5,每次來女書店參加活動，都會發現更多想看的書！
Jocelyn Lin,5,氣氛靜謐美好、兩位女店員溫暖和善，書籍觸碰心靈。
Amy Su,5,"與性別平權、女性主義相關的書籍很多，也有繪本！
店內播放著舒服的輕音樂，偶而會辦小講座"
WunHan Wei,5,"位在二樓的書店，從樓梯間的海報可以感受到濃厚的人文、社會運動，推開門瞬間老闆也熱情的說了歡迎。可能我們是生面孔初次造訪，老闆告訴我們自在的使用這個環境，當作自己的空間，角落也有水可飲用。
門口玄關放置了一些社會運動、電影宣傳的明信片，感受到許多藝文活動也在這裡熱烈交流著。
各式女性主義與女權相關的精選書籍，有別於主流書店的暢銷書排行榜，這裡提供另個視角看待這個世界。
我和朋友悠閒安靜的度過一些時間，餓了就去樓下吃個燒臘飯，女巫店聽個音樂，極力推薦給跟我一樣壓力過大的新女性。"
芃穎,4,舉辦的活動跟賣的書都很有意義，但地方有點狹小
Alberta Chen,1,已歇業很久了!別白跑一趟
Annie Huang,5,位於女巫店旁邊的女書店，不時辦理許多場與女力、性平相關的講座，書店內也有許多不錯的書籍。
Robyn Huang,5,精心挑選的書，有時間的話可以好好在此補充一下腦袋裡的知識
Ping Fei,5,不只是書店，還有許多女性主義課程。
簡秀雯,5,有特色的書店！時常有相關的女性講座！值得來看看！
Jessie Hsiao,4,三小時以後仍只有我們這桌五人組，生存自有道吧！
YT Chen,5,"有講座資訊，感興趣的話可以直接上網報名或是問老闆～

書本擺放整齊，看起來非常悅目😍
有座位跟很多文宣品😎

樓下就是女巫店😋"
Margaritachao _1984,3,"空氣有一點點悶（人多的時候、參與活動時），
或許可以改變一下動線設計。"
Chun Yi Chen,5,氛圍很好的書店，在選書上也很有品味。
Mollie LIN,5,很舒服的空間，書籍的選擇也很有主題性
Michelle Huang,5,專業的獨立書店，跟女性議題相關的書目，相當齊全。也會邀請作者，教授來演講。
吳瑀崙（Larrie）,5,有時候舉辦藝文活動，可以留意他們的粉絲專頁。在社會科學方面的選書豐富，尤其是性別方便的藏書很多元。有在幫忙販售一些小物，主要是公益商品，不乏性別團體的商品。
Chiang Chily,5,女性主義的書籍齊全，環境舒適，像是一個可以躲避的堡壘
Serena,5,"超推👍👍👍
台灣特選關於女性主義與性別議題的書店！！
選書有深度有內容又有質感 社會人文類 還有英文書
有座位可以坐著看 店員親切 會介紹哪裡有講座
台灣必須多一點這種獨立書店 彰顯我們的言論自由價值 很多中國人都來台灣買一堆書 可見這是台灣特色 要多多推廣 繼續保持 發揚光大
不要再一堆連鎖書店 一堆賣肉書 只會賺錢 一直推經典老書 沒新一代的書好看 只會一堆翻譯外國文學 沒有自己的台灣文學 不停降低平民閱讀水準
不讀書的人真的沒文化沒知識 而選書更重要 因此有這種書店才能促進民眾多讀好書 有意義的書 拓展事業 不要只會活在鬼島上 視野狹隘"
Lili Huang,4,"藏書之深度與廣度足以使任何自稱女性主義者的人為之汗顏、
冷氣的強度則令人揮汗如雨。"
suwaezero,4,值得一來再來的書店，店員會主動搭話，一個人去也不顯尷尬，內容多以比較社會學、女性、性別、同志為主，會呈現多元的內容，推薦非來不可
Jessie Yang,5,非常非常非常喜歡女書店，常舉辦不同主題演講，也會介紹新書，是非常適合讀書成長(？)的地方。
吃,4,來這邊聽演講 看到旁邊有很多關注女子力的議題👍👍👍
Karen I'm.,5,"是一個很舒服的空間！
一進門看到老闆娘和另一個友人在談論事情
今天只有我一個客人 第一次來感到有點不安
老闆娘在書店遠遠的另一端大聲地對我：「同學！想怎麼看書就看書 依你舒適的方法為主 把這裡當成你的書房 整間都是你的書房！」
哈哈哈好喜歡這樣的感覺 挑了本跟玫瑰少年有關的書籍便窩在沙發上閱讀
有種心靈被洗滌過的舒適感"
蘇懷安,5,支持女書店❤(ӦｖӦ｡)裡頭主要販售和女權、性別相關議題的書籍。
林聖曜,5,舒適的閱讀環境，定期講座活動內容豐富
李思妤,5,溫暖的地方
林育德,4,環境很輕鬆悠閒，還有很多桌遊可以玩，適合三五好友一起消磨時間。
Perrot Vere (Vere Perrot),4,很安靜舒適的閱讀空間，即使是男生也不用覺得不好意思，多看看不同觀點增加自己的視野。
駱亭妤,5,"女權、女性主義的書籍，
有時候會舉辦講座活動。"
Jerry Lee (小蟹),5,很棒的書店，非常多討論性別的書籍，很好逛～
林辰韋,5,歡迎各位對女性主義有興趣的人都能來這裡走走逛逛，保證不虛此行
Joyce Wang,4,獨立書店，有一些獨門的書，值得一逛
HY Lai,5,談婦運、談多元性別... 書籍種類很豐富喔!
謝依均Yichun Hsieh,5,以女性為主題的書店，還有讀書會，辦理新書發表和推薦會，非常棒
Bill Liao,5,很棒的書店
以文阿文,5,女權、性別主題、LGBT的書，很豐富！老闆很親切，適合看書、買書的好地方！
lee yulan,5,"現場整體規劃讓人感覺很舒服，營業時間現在是週二至週日 11:00-21:00
週一及國定假日公休，星期假日也有營業，是一個專為女性所規劃的閱覽及休憩之場所，很棒的，男性也可以去喔，男性更應該去。"
柯乾庸,5,對社會議題非常關注，具有深厚社會關懷的好書店
陳正德,4,一般有關女人的書籍這都有
yoga huang,5,很棒的主題書店，常常有講座活動
戴宛靜（紫藤）,5,要了解「性別教育、性教育」或找女性作者、女性角色為主的書，這間書店都不會讓你失望！同志友善店家，也有賣束胸。2017年7月1日後週末不再營業。
Su Andrew,5,陪女友去的，一個很自在的地方
KT Liu,5,裡面有關於性別議題的書籍，很棒！
Yeh JC,5,非常重要的一家書店，店員也很親切
Jerry Yang,5,空間寬敞、舒適，書種多，推廣性別平等意識
Lin Chen,4,很溫馨，很適合好友輕鬆聊天，開讀書會的地方喔
JOHN JOHN,5,女性主義的書店，很棒。
陳正峰,5,書籍以女性為主 很有特色
林佑容（Julie Lin）,5,很棒，並且有時也會舉辦工作坊等等的活動。
Hung Chang,5,很特別的書店，很多女性議題書籍
Hsiao-Ting Wang,5,有許多關於女性及性別議題的書籍和講座。
Hsiung Mike,5,可惜一個將要消失的好地方
I-rina Wang,5,令人感到溫馨舒適且受重視的書店。
吳佩,3,很適合聊天玩桌遊
Lorenz Ko,3,書太中產調調
趙叔,5,台灣女性議題書店的聖地喔
Win有成,3,感覺上還OK
王邦立,5,很棒的獨立書店
Meng Hung Tsai,5,最完整的女書收藏
王雅婷,2,結束關店。
傅玉松,5,女性主義向前行
Esther Chow,5,台灣必去的書店
潘潘,5,好書店
吳冠衡,3,立場鮮明
許郁彬,5,不錯
YuanTing Wei,5,有趣的特色書店
雷克亞維克James,2,結束營業
Yuhung Huang,3,快結束門市服務了
鄭芋冰,5,舒適的閱讀空間
Yang Wu,5,"(由 Google 提供翻譯) 超級超級有趣的一次經歷！書目很棒，店員姐姐很專業！還參加了前天關於家庭暴力的講座，教授很專業又友善，大家的討論也很深入。對想更深入了解性別問題的初入門者和專業人士都很友好，強烈推薦！ ！ ！

(原始評論)
超级超级有趣的一次经历！书目很棒，店员姐姐很专业！还参加了前天关于家庭暴力的讲座，教授很专业又友善，大家的讨论也很深入。对想更深入了解性别问题的初入门者和专业人士都很友好，强烈推荐！！！"
Oat meal Latte,5,"(由 Google 提供翻譯) 酷兒 - 女權主義書店。所有性別廁所都在這裡。非常好的地方。
這裡的大多數書都是台灣人，這裡的一些書是英文的。
在這裡也是自豪的商品。

(原始評論)
Queer - Feminism book store. All gender restroom in here. Very good place.
Most books in here is Taiwanese and, some books in here is english.
Queer-pride goods in here too."
aaa bbb,5,"(由 Google 提供翻譯) 非常好的服務，非常友善和樂於助人，他們甚至可以坐著看書，還可以一邊喝水一邊喝著風扇。書籍種類繁多，當然主要是中文，但也有一些英文。他們拿現金和塑料，非常方便。愛它！

(原始評論)
Very nice service, very kind and helpful, they even have a olace to sit and read with colmd water and a fan. Wide selection of books, …"
Jacelyn Phang,3,"(由 Google 提供翻譯) 書店很小，英語書籍非常有限。除了這家書店的概念之外，沒有其他東西很有趣。他們也定期舉辦活動，您可以查看他們的社交媒體以了解更多信息。我不會向不懂中文的外國人推薦這個地方。

(原始評論)
Bookstore is small and has very limited English books. Nothing very interesting other than the concept of this bookstore. They …"
Chen-an Xiao,4,"(由 Google 提供翻譯) Fembook介紹了關於女權主義，女同性戀，性別等的書籍。很高興看到這些主題的書店。

(原始評論)
Fembook introduces books about Feminism,lesbianism, sex etc. It is good to see a bookstore of these themes."
Lo Shurug,4,"(由 Google 提供翻譯) 自2018年以來，這家書店開墾了它的前沿區域，無論從物理上還是從智力上，現在都是明亮的。

(原始評論)
Ever since 2018 the bookstore reclaimed its front area, it's bright now, physically and intellectually."
moon chou,5,"(由 Google 提供翻譯) 很喜歡書店的氣氛，店員也都很nice。非常值得一去。

(原始評論)
很喜欢书店的气氛，店员也都很nice。非常值得一去。"
안경미남입니다만,4,"(由 Google 提供翻譯) 這是個好地方。

(原始評論)
좋은 곳입니다."
Fuvkingup Eveything,3,。
莊小示,5,"(由 Google 提供翻譯) 友善

(原始評論)
友善"
潘小蟹,5,"(由 Google 提供翻譯) 很用心

(原始評論)
很用心"
Ryan Stone,1,"(由 Google 提供翻譯) 哦，已經關了很久了！！

(原始評論)
Oh, already closed long time!!"
Cheng-Hung Chiu,4,
吳林翰,5,
CT Shih,5,
Claire Lumiere,3,
SOBOY,4,
Dennis Huang,5,
林芸君,5,
Regina Ho,5,
張雯婷（啦啦）,5,
YU JING,5,
Bong Jenn Fonng黃振峰（zhenfeng）,5,
Jane Fong,5,
羅雅馨,5,
Ada Yang,3,
Jian-An Ciou,5,
湛有慈,5,
Zoe,5,
黃彥文,5,
Lin Maggie,5,
Ahgase Cumberbitch,5,
tungyue,5,
王惟惟（惟惟）,5,
green ivon,4,
Ira,5,
D.F.,4,
Lily Ho,5,
丁柏福（萬富）,5,
garfieros Po,5,
asky9147,5,
丁立,3,
ようどう,3,
張張正,5,
Samson Pang,5,
lchintp【李建宏】,5,
黃路易,5,
Vince Zhang,4,
May Chen,5,
俞婷,4,
caiphous shieh,5,
Hanbing Li,3,
Ya-fen Huang,5,
Christy,5,
